序号,所属平台,订单号,下单用户,规格,总金额,运费,快递单号,快递公司
"	8","	微信","	20200823010353931954","	Tsura","	规格：默认，",103.00,0.00,"	73136608484146","	中通快递"
"	9","	微信","	20200823010353931954","	Tsura","	黑色：L，",103.00,0.00,"	73136608484146","	中通快递"
"	10","	微信","	20200819120439369390","	体脂不下15不改名","	规格：默认，",15.00,0.00,"	","	"
"	11","	微信","	20200814161433183365","	昵称重要吗？","	规格：默认，",20.00,0.00,"	73136176628842","	中通快递"
"	12","	微信","	20200814161433183365","	昵称重要吗？","	规格：默认，",20.00,0.00,"	73136176628842","	中通快递"
"	13","	微信","	20200810114138516657","	Quella","	规格：默认，",50.00,10.00,"	73135966736046","	中通快递"
"	14","	微信","	20200810114138516657","	Quella","	规格：默认，",50.00,10.00,"	73135966736046","	中通快递"
"	15","	微信","	20200808161201986263","	Unc1eOrew","	规格：默认，",40.00,10.00,"	73135824458546","	中通快递"
"	16","	微信","	20200724121242331328","	DAVID","	规格：默认，",15.00,0.00,"	73134935546160","	中通快递"
"	17","	微信","	20200717164612441449","	姜小新","	规格：戒指，",117.00,0.00,"	","	"
"	18","	微信","	20200715131112325238","	Z.R.D","	薄荷绿：XL，",88.00,0.00,"	73134400688884","	中通快递"
"	19","	微信","	20200712223721752820","	peng","	黑色：XXL，",559.00,0.00,"	73134184664966","	中通快递"
"	20","	微信","	20200712223721752820","	peng","	尺码：XL，颜色：天空蓝，",559.00,0.00,"	73134184664966","	中通快递"
"	21","	微信","	20200712223721752820","	peng","	尺码：XXL，颜色：天空蓝，",559.00,0.00,"	73134184664966","	中通快递"
"	22","	微信","	20200712223721752820","	peng","	19蓝白款：XXL，",559.00,0.00,"	73134184664966","	中通快递"
"	23","	微信","	20200712223721752820","	peng","	19款红白：M，颜色：红色，",559.00,0.00,"	73134184664966","	中通快递"
"	24","	微信","	20200712223721752820","	peng","	颜色：红色，19款红白：XXXL，",559.00,0.00,"	73134184664966","	中通快递"
"	25","	微信","	20200712223721752820","	peng","	19款黑白：XXXL，",559.00,0.00,"	73134184664966","	中通快递"
"	26","	微信","	20200709095600684618","	Change","	黑色：L，",184.00,0.00,"	73134052445883","	中通快递"
"	27","	微信","	20200709095600684618","	Change","	规格：默认，",184.00,0.00,"	73134052445883","	中通快递"
"	28","	微信","	20200709095600684618","	Change","	杯子：黑色-礼盒装，",184.00,0.00,"	73134052445883","	中通快递"
"	29","	微信","	20200708161610611791","	王亚超","	规格：默认，",25.00,10.00,"	73133977449143","	中通快递"
"	30","	微信","	20200707230055681893","	lovermaker","	尺码：XXL，颜色：绿色，",98.00,0.00,"	73134062455668","	中通快递"
"	31","	微信","	20200707165012692582","	姜小新","	规格：项链，",184.00,0.00,"	","	"
"	32","	微信","	20200707165012692582","	姜小新","	规格：手链，",184.00,0.00,"	","	"
"	33","	微信","	20200705173826670486","	捏核桃","	灰色-礼盒装：XDU木尚杯-灰色，",107.00,0.00,"	73133910357742","	中通快递"
"	34","	微信","	20200705173826670486","	捏核桃","	19款黑白：L，",107.00,0.00,"	73133910357742","	中通快递"
"	35","	微信","	20200705142224456966","	冯剑波","	规格：戒指，",42.00,3.00,"	73133910301050","	中通快递"
"	36","	微信","	20200705084321328680","	有感情的屠夫","	规格：手链，",55.00,3.00,"	","	"
"	37","	微信","	20200704154959558494","	安好","	颜色：浅灰，",29.00,10.00,"	73133772447192","	中通快递"
"	38","	微信","	20200704082738524841","	去去去","	规格：默认，",25.00,10.00,"	73133977473367","	中通快递"
"	39","	微信","	20200704062603191397","	ddy交响乐","	规格：默认，",18.00,3.00,"	","	"
"	40","	微信","	20200703234314513234","	11°","	规格：默认，",20.00,10.00,"	73133725764702","	中通快递"
"	41","	微信","	20200703224947274603","	Rrrrrrec","	套餐：观光塔+防尘罩，",159.00,0.00,"	73133725764736","	中通快递"
"	42","	微信","	20200703223938714154","	源源","	规格：默认，",30.00,10.00,"	73133910430341","	中通快递"
"	43","	微信","	20200703223938714154","	源源","	规格：默认，",30.00,10.00,"	73133910430341","	中通快递"
"	44","	微信","	20200703221210232206","	AmberFantasy","	类型：横版（XDU），",144.00,0.00,"	","	"
"	45","	微信","	20200703221210232206","	AmberFantasy","	类型：横版（观光塔），",144.00,0.00,"	","	"
"	46","	微信","	20200703221210232206","	AmberFantasy","	类型：竖版（XDU），",144.00,0.00,"	","	"
"	47","	微信","	20200703221106152188","	Serendipity","	规格：默认，",36.00,10.00,"	73133725764784","	中通快递"
"	48","	微信","	20200703221106152188","	Serendipity","	仅支持小店自提：仅支持小店自提，",36.00,10.00,"	73133725764784","	中通快递"
"	49","	微信","	20200703215335547344","	SCX","	类型：横版（观光塔），",27.00,3.00,"	","	"
"	50","	微信","	20200703215028639101","	false","	规格：默认，",20.00,10.00,"	73133725764848","	中通快递"
"	51","	微信","	20200703214630483745","	未央","	规格：手链+项链+戒指，",556.00,0.00,"	","	"
"	52","	微信","	20200703213934974490","	黄海小鱼干","	规格：默认，",35.00,10.00,"	73133977455686","	中通快递"
"	53","	微信","	20200703213934974490","	黄海小鱼干","	规格：默认，",35.00,10.00,"	73133977455686","	中通快递"
"	54","	微信","	20200703213648994078","	edward","	黑色：L，",88.00,0.00,"	73133725764901","	中通快递"
"	55","	微信","	20200703213358851889","	Mitsui","	规格：默认，",31.00,3.00,"	","	"
"	56","	微信","	20200703213358851889","	Mitsui","	仅支持小店自提：仅支持小店自提，",31.00,3.00,"	","	"
"	57","	微信","	20200703213358851889","	Mitsui","	规格：默认，",31.00,3.00,"	","	"
"	58","	微信","	20200703213212381107","	彳亍","	规格：默认，",40.00,10.00,"	73133977462226","	中通快递"
"	59","	微信","	20200703204242326271","	John Doe","	规格：默认，",50.00,10.00,"	73133977467787","	中通快递"
"	60","	微信","	20200703204242326271","	John Doe","	规格：默认，",50.00,10.00,"	73133977467787","	中通快递"
"	61","	微信","	20200703203606286926","	南川  北鱼","	规格：默认，",8.00,3.00,"	73133725764876","	中通快递"
"	62","	微信","	20200703203557875543","	默，陌","	规格：默认，",13.00,3.00,"	73133725764868","	中通快递"
"	63","	微信","	20200703202715720732","	shepherd","	规格：默认，",84.00,0.00,"	73133725764680","	中通快递"
"	64","	微信","	20200703202715720732","	shepherd","	规格：默认，",84.00,0.00,"	73133725764680","	中通快递"
"	65","	微信","	20200703202715720732","	shepherd","	内存：16G，接口：3.0，",84.00,0.00,"	73133725764680","	中通快递"
"	66","	微信","	20200703202715720732","	shepherd","	颜色：浅灰，",84.00,0.00,"	73133725764680","	中通快递"
"	67","	微信","	20200703202027998122","	Hi","	规格：默认，",128.00,0.00,"	73133725764677","	中通快递"
"	68","	微信","	20200703200808859379","	lovermaker","	规格：手链+项链+戒指，",139.00,0.00,"	15109262166","	中通快递"
"	69","	微信","	20200703200309429275","	橙子要剥皮","	规格：戒指，",49.00,10.00,"	73133910591314","	中通快递"
"	70","	微信","	20200703200048321758","	cold","	规格：戒指，",49.00,10.00,"	73133910619991","	中通快递"
"	71","	微信","	20200702173229596012","	SUN","	规格：默认，",285.00,0.00,"	","	"
"	72","	微信","	20200701205119921251","	姜小新","	规格：默认，",13.00,3.00,"	","	"
"	73","	微信","	20200629153506660413","	Graham.Guo郭明哲","	套餐：观光塔，",278.00,0.00,"	73133589062826","	中通快递"
"	74","	微信","	20200629153506660413","	Graham.Guo郭明哲","	套餐：西电主楼，",278.00,0.00,"	73133589062826","	中通快递"
"	75","	微信","	20200627215736363862","	 流通！～","	套餐：观光塔，",139.00,0.00,"	73133230642896","	中通快递"
"	76","	微信","	20200627212443598634","	tccOnlyn","	套餐：观光塔+防尘罩，",159.00,0.00,"	73133230628365","	中通快递"
"	77","	微信","	20200627212316330915","	tccOnlyn","	套餐：主楼+防尘罩，",159.00,0.00,"	73133230628365","	中通快递"
"	78","	微信","	20200624010438217084","	洋","	规格：默认，",28.00,3.00,"	73133043583728","	中通快递"
"	79","	微信","	20200624002325491115","	半生余醉","	规格：项链，",66.00,0.00,"	","	"
"	80","	微信","	20200613184652336483","	天风","	规格：默认，",30.00,10.00,"	73133043578639","	中通快递"
"	81","	微信","	20200613184652336483","	天风","	规格：默认，",30.00,10.00,"	73133043578639","	中通快递"
"	82","	微信","	20200104134903880345","	-f","	发货时间：七到十五天发货，",98.00,0.00,"	73125670487500","	中通快递"
"	83","	微信","	20191229182939373256","	雨瞳","	发货时间：七到十五天发货，",98.00,0.00,"	73125325151670","	中通快递"
"	84","	微信","	20191229001747473091","	Haojie","	规格：默认，",33.00,3.00,"	73125267478031","	中通快递"
"	85","	微信","	20191226182858440981","	十一。","	内存：16G，接口：3.0，",96.00,0.00,"	","	"
"	86","	微信","	20191221164534379329","	Merlin","	规格：默认，",8.00,3.00,"	","	"
"	87","	微信","	20191220142031753230","	持恩续安","	尺码：XL，颜色：黑色，",138.00,0.00,"	73124807474133","	中通快递"
"	88","	微信","	20191216181309582652","	Azarel","	颜色：灰色，",30.00,10.00,"	73124644760492","	中通快递"
"	89","	微信","	20191216181309582652","	Azarel","	规格：默认，",30.00,10.00,"	73124644760492","	中通快递"
"	90","	微信","	20191213233352342666","	梁阿北","	规格：默认，",25.00,10.00,"	73124232179917","	中通快递"
"	91","	微信","	20191213154214917562","	木兮","	规格：默认，",97.00,0.00,"	73124438263620","	中通快递"
"	92","	微信","	20191213154214917562","	木兮","	仅支持自提（勿拍）：白色（磁吸），",97.00,0.00,"	73124438263620","	中通快递"
"	93","	微信","	20191213154214917562","	木兮","	仅支持自提（勿拍）：黑色（磁吸），",97.00,0.00,"	73124438263620","	中通快递"
"	94","	微信","	20191213154214917562","	木兮","	规格：默认，",97.00,0.00,"	73124438263620","	中通快递"
"	95","	微信","	20191213154214917562","	木兮","	颜色：浅蓝，",97.00,0.00,"	73124438263620","	中通快递"
"	96","	微信","	20191213154214917562","	木兮","	颜色：白色，",97.00,0.00,"	73124438263620","	中通快递"
"	97","	微信","	20191212153959337737","	chuan","	套餐：观光塔+防尘罩，",159.00,0.00,"	73124438249686","	中通快递"
"	98","	微信","	20191210084417629080","	天鸽","	规格：默认，",18.00,3.00,"	","	"
"	99","	微信","	20191208195326841526","	美羊羊","	套餐：观光塔+防尘罩，",159.00,0.00,"	73124232179917","	中通快递"
"	100","	微信","	20191125170029683204","	Fuslalety","	套餐：观光塔+防尘罩，",159.00,0.00,"	73123500551926","	中通快递"
"	101","	微信","	20191125163117357560","	Julian","	尺码：XL，颜色：绿色，",686.00,0.00,"	","	"
"	102","	微信","	20191125163117357560","	Julian","	尺码：XXL，颜色：黑色，",686.00,0.00,"	","	"
"	103","	微信","	20191125163117357560","	Julian","	尺码：XL，颜色：黑色，",686.00,0.00,"	","	"
"	104","	微信","	20191125163117357560","	Julian","	尺码：XL，颜色：蓝色，",686.00,0.00,"	","	"
"	105","	微信","	20191125163117357560","	Julian","	尺码：XL，颜色：红色，",686.00,0.00,"	","	"
"	106","	微信","	20191125163117357560","	Julian","	尺码：M，颜色：酒红色，",686.00,0.00,"	","	"
"	107","	微信","	20191125163117357560","	Julian","	尺码：XL，颜色：白色，",686.00,0.00,"	","	"
"	108","	微信","	20191124193535234966","	0.0","	颜色：浅灰，",46.00,3.00,"	73123500541187","	中通快递"
"	109","	微信","	20191124193535234966","	0.0","	颜色：浅灰，",46.00,3.00,"	73123500541187","	中通快递"
"	110","	微信","	20191124170947410820","	史春梅","	尺码：XXL，颜色：红色，",138.00,0.00,"	73123454032498","	中通快递"
"	111","	微信","	20191123101440362530","	暮紫L","	尺码：M，颜色：绿色，",98.00,0.00,"	73123825766696","	中通快递"
"	112","	微信","	20191121185345117431","	雨瞳","	灰色-礼盒装：XDU木尚杯-灰色，",51.00,3.00,"	","	"
"	113","	微信","	20191121171749820707","	曦哥","	尺码：XXXL，颜色：藏蓝色，",98.00,0.00,"	","	"
"	114","	微信","	20191119200746985480","	lucy","	尺码：XL，颜色：墨绿色，",276.00,0.00,"	","	"
"	115","	微信","	20191119200746985480","	lucy","	尺码：S，颜色：墨绿色，",276.00,0.00,"	","	"
"	116","	微信","	20191116171339908593","	仙台小蘑菇","	套餐：观光塔+防尘罩，",159.00,0.00,"	73123041127458","	中通快递"
"	117","	微信","	20191115204729409517","	peng","	尺码：M，颜色：雾霾蓝，",138.00,0.00,"	","	"
"	118","	微信","	20191115195941507768","	周玉驰","	尺码：XXL，颜色：灰色，",98.00,0.00,"	73123041082946","	中通快递"
"	119","	微信","	20191115165129203710","	BTS是一道光","	规格：默认，",415.00,0.00,"	","	"
"	120","	微信","	20191115165129203710","	BTS是一道光","	内存：16G，接口：3.0，",415.00,0.00,"	","	"
"	121","	微信","	20191113133511795819","	Mr.C","	颜色：灰色，",104.00,0.00,"	","	"
"	122","	微信","	20191113133511795819","	Mr.C","	颜色：白色，",104.00,0.00,"	","	"
"	123","	微信","	20191113133511795819","	Mr.C","	颜色：浅蓝，",104.00,0.00,"	","	"
"	124","	微信","	20191111232748271108","	果壳","	书包：酒红色，",88.00,0.00,"	","	"
"	125","	微信","	20191111215800275943","	spring","	尺码：L，颜色：黑色，",152.00,0.00,"	","	"
"	126","	微信","	20191111215800275943","	spring","	颜色：灰色，",152.00,0.00,"	","	"
"	127","	微信","	20191111215800275943","	spring","	颜色：浅灰，",152.00,0.00,"	","	"
"	128","	微信","	20191111204553628507","	九局下饭","	束口包：420D，",169.00,0.00,"	73122859162564","	中通快递"
"	129","	微信","	20191111204553628507","	九局下饭","	束口包：210D，",169.00,0.00,"	73122859162564","	中通快递"
"	130","	微信","	20191111204553628507","	九局下饭","	规格：默认，",169.00,0.00,"	73122859162564","	中通快递"
"	131","	微信","	20191111204553628507","	九局下饭","	规格：默认，",169.00,0.00,"	73122859162564","	中通快递"
"	132","	微信","	20191111204553628507","	九局下饭","	书包：青蓝色，",169.00,0.00,"	73122859162564","	中通快递"
"	133","	微信","	20191111174714747306","	穿裤衩的蜗牛","	套餐：主楼+防尘罩，",159.00,0.00,"	","	"
"	134","	微信","	20191111135054994580","	蔚蓝海洋","	规格：默认，",67.00,0.00,"	","	"
"	135","	微信","	20191111135054994580","	蔚蓝海洋","	颜色：浅灰，",67.00,0.00,"	","	"
"	136","	微信","	20191111130202506736","	嘉菲羊","	书包：酒红色，",176.00,0.00,"	","	"
"	137","	微信","	20191111003825700623","	小绿宅吞吞","	套餐：观光塔，",139.00,0.00,"	73122859465683","	中通快递"
"	138","	微信","	20191110182217942800","	清允","	尺码：XXL，颜色：白色，",170.00,0.00,"	","	"
"	139","	微信","	20191110182217942800","	清允","	杯子：黑色-礼盒装，",170.00,0.00,"	","	"
"	140","	微信","	20191110182217942800","	清允","	颜色：浅灰，",170.00,0.00,"	","	"
"	141","	微信","	20191109160345849972","	郝然箫音","	套餐：观光塔+防尘罩，",159.00,0.00,"	","	"
"	142","	微信","	20191109123336666222","	佳宜","	尺码：S，颜色：黑色，",237.00,0.00,"	73122639821561","	中通快递"
"	143","	微信","	20191109123336666222","	佳宜","	套餐：西电主楼，",237.00,0.00,"	73122639821561","	中通快递"
"	144","	微信","	20191109070748803325","	ωαnqiυ","	尺码：M，颜色：粉色，",98.00,0.00,"	73122806048315","	中通快递"
"	145","	微信","	20191109070619873975","	ωαnqiυ","	尺码：XL，颜色：红色，",196.00,0.00,"	73122806048315","	中通快递"
"	146","	微信","	20191109070619873975","	ωαnqiυ","	尺码：XXL，颜色：灰色，",196.00,0.00,"	73122806048315","	中通快递"
"	147","	微信","	20191108221447946738","	少吃丶水果","	尺码：XL，颜色：蓝色，",196.00,0.00,"	","	"
"	148","	微信","	20191108155434976181","	Contrail","	尺码：XXXXL，颜色：粉色，",196.00,0.00,"	73122738215128","	中通快递"
"	149","	微信","	20191108155434976181","	Contrail","	尺码：XXXL，颜色：米色，",196.00,0.00,"	73122738215128","	中通快递"
"	150","	微信","	20191107225909140272","	不出签不改名","	套餐：（一套子母包15.6）），",61.00,3.00,"	73123073550758","	中通快递"
"	151","	微信","	20191107150223875885","	心长在，思相长","	尺码：L，颜色：红色，",98.00,0.00,"	","	"
"	152","	微信","	20191106173700904426","	陈继晓","	灰色-礼盒装：XDU木尚杯-灰色，",96.00,0.00,"	73122738223099","	中通快递"
"	153","	微信","	20191106082122337376","	Lagranges Manuskripte","	尺码：XL，颜色：雾霾蓝，",196.00,0.00,"	","	"
"	154","	微信","	20191106082122337376","	Lagranges Manuskripte","	套餐：（一套子母包15.6）），",196.00,0.00,"	","	"
"	155","	微信","	20191105152829172992","	Louis","	尺码：M，颜色：墨绿色，",225.00,0.00,"	","	"
"	156","	微信","	20191105152829172992","	Louis","	规格：默认，",225.00,0.00,"	","	"
"	157","	微信","	20191105152829172992","	Louis","	颜色：浅灰，",225.00,0.00,"	","	"
"	158","	微信","	20191105152829172992","	Louis","	套餐：（一套子母包15.6）），",225.00,0.00,"	","	"
"	159","	微信","	20191104141605223534","	Merlin","	规格：默认，",207.00,0.00,"	73122190722183","	中通快递"
"	160","	微信","	20191104141605223534","	Merlin","	套餐：主楼+防尘罩，",207.00,0.00,"	73122190722183","	中通快递"
"	161","	微信","	20191104040514180721","	Contrail","	尺码：XXL，颜色：绿色，",98.00,0.00,"	73122639761328","	中通快递"
"	1","	微信","	20191104035920901757","	Contrail","	尺码：L，颜色：粉色，",98.00,0.00,"	73122639777346","	中通快递"
"	2","	微信","	20191103084943133523","	云中峰峦","	尺码：XXL，颜色：灰色，",98.00,0.00,"	73122639791708","	中通快递"
"	3","	微信","	20191102224635796107","	抽抽","	套餐：主楼+防尘罩，",159.00,0.00,"	73122190729494","	中通快递"
"	4","	微信","	20191102162208245315","	Hello猫先森","	书包：酒红色，",88.00,0.00,"	73122191304651","	中通快递"
"	5","	微信","	20191101204539571053","	熙熙haha","	套餐：观光塔+防尘罩，",159.00,0.00,"	73122191304651","	中通快递"
"	6","	微信","	20191101204448756391","	。","	颜色：黄蓝，",88.00,0.00,"	","	"
"	7","	微信","	20191101170303717331","	菠萝菠萝哒！","	规格：默认，",154.00,0.00,"	","	"
"	8","	微信","	20191101170303717331","	菠萝菠萝哒！","	规格：默认，",154.00,0.00,"	","	"
"	9","	微信","	20191101170303717331","	菠萝菠萝哒！","	颜色：浅灰，",154.00,0.00,"	","	"
"	10","	微信","	20191101170303717331","	菠萝菠萝哒！","	颜色：浅灰，",154.00,0.00,"	","	"
"	11","	微信","	20191101170303717331","	菠萝菠萝哒！","	套餐：（一套子母包15.6）），",154.00,0.00,"	","	"
"	12","	微信","	20191101124000846427","	 ??","	套餐：观光塔，",278.00,0.00,"	73122070416412","	中通快递"
"	13","	微信","	20191101124000846427","	 ??","	套餐：西电主楼，",278.00,0.00,"	73122070416412","	中通快递"
"	14","	微信","	20191101120021247646","	郭斯睿","	尺码：XXL，颜色：黑色，",152.00,0.00,"	73122859448643","	中通快递"
"	15","	微信","	20191101120021247646","	郭斯睿","	颜色：浅灰，",152.00,0.00,"	73122859448643","	中通快递"
"	16","	微信","	20191031211705530012","	张泽阳","	套餐：主楼+防尘罩，",159.00,0.00,"	73122070423494","	中通快递"
"	17","	微信","	20191031162609761250","	傅頔","	颜色：蓝色，",27.00,3.00,"	73122070442790","	中通快递"
"	18","	微信","	20191031144305504365","	何哲伟","	徽章：金色+毛毡壳，",35.00,10.00,"	73122070686125","	中通快递"
"	19","	微信","	20191031142648248666","	隔壁老王","	套餐：主楼+防尘罩，",159.00,0.00,"	73122070430318","	中通快递"
"	20","	微信","	20191031113843837143","	あの人","	书包：青蓝色，",88.00,0.00,"	73122070449314","	中通快递"
"	21","	微信","	20191031085704292704","	潘喵Kitty王","	套餐：主楼+防尘罩，",159.00,0.00,"	73122070436477","	中通快递"
"	22","	微信","	20191031004758501802","	ALsuka","	颜色：浅灰，",77.00,0.00,"	","	"
"	23","	微信","	20191031004758501802","	ALsuka","	套餐：（一套子母包15.6）），",77.00,0.00,"	","	"
"	24","	微信","	20191030223420266390","	Hahn","	类型：横版，发货时间：七到十五天内发货，",27.00,3.00,"	","	"
"	25","	微信","	20191027111803295388","	小石","	套餐：西电主楼，",139.00,0.00,"	73121764718996","	中通快递"
"	26","	微信","	20191027105649395505","	赖赖赖赖赖美云","	颜色：浅蓝，",39.00,10.00,"	73121764723909","	中通快递"
"	27","	微信","	20191027105649395505","	赖赖赖赖赖美云","	颜色：红色，",39.00,10.00,"	73121764723909","	中通快递"
"	28","	微信","	20191027105649395505","	赖赖赖赖赖美云","	颜色：浅灰，",39.00,10.00,"	73121764723909","	中通快递"
"	29","	微信","	20191025233455903169","	FUN GUY.","	尺码：XL，颜色：红色，",98.00,0.00,"	","	"
"	30","	微信","	20191025230827575336","	GQY","	尺码：L，",98.00,0.00,"	","	"
"	31","	微信","	20191025221515849138","	超载猫","	尺码：XXL，",130.00,0.00,"	","	"
"	32","	微信","	20191025221515849138","	超载猫","	颜色：黑色，",130.00,0.00,"	","	"
"	33","	微信","	20191025221515849138","	超载猫","	颜色：蓝色，",130.00,0.00,"	","	"
"	34","	微信","	20191025192752431975","	徐建东","	尺码：L，",98.00,0.00,"	73121764714457","	中通快递"
"	35","	微信","	20191023101045142182","	李尚儒","	规格：默认，",51.00,3.00,"	","	"
"	36","	微信","	20191020101847368444","	-f","	套餐：观光塔，",139.00,0.00,"	","	"
"	37","	微信","	20191016145721774512","	神","	套餐：观光塔+防尘罩，",247.00,0.00,"	773009166248388","	申通快递"
"	38","	微信","	20191016145721774512","	神","	尺码：XXL，",247.00,0.00,"	773009166248388","	申通快递"
"	39","	微信","	20191016102044354225","	籽豪","	套餐：观光塔+防尘罩，",159.00,0.00,"	","	"
"	40","	微信","	20191014200818544100","	郭子博","	套餐：西电主楼，",139.00,0.00,"	191017058120536104","	中通快递"
"	41","	微信","	20191014000211577764","	Yuki","	尺码：XL，",88.00,0.00,"	191014054319235104","	中通快递"
"	42","	微信","	20191013154027914728","	茄子","	黑色：XXL，",98.00,10.00,"	191014054013897102","	中通快递"
"	43","	微信","	20191010111506220666","	Holt.T","	套餐：观光塔，",139.00,0.00,"	","	"
"	44","	微信","	20190930183226265517","	黄金时代","	薄荷绿：L，",88.00,0.00,"	","	"
"	45","	微信","	20190930164120376706","	嗯对","	套餐：观光塔+防尘罩，",331.00,0.00,"	","	"
"	46","	微信","	20190930164120376706","	嗯对","	颜色：灰色，",331.00,0.00,"	","	"
"	47","	微信","	20190930164120376706","	嗯对","	颜色：浅灰，",331.00,0.00,"	","	"
"	48","	微信","	20190930164120376706","	嗯对","	19款红白：XL，颜色：红色，",331.00,0.00,"	","	"
"	49","	微信","	20190930164120376706","	嗯对","	19款黑白：XL，",331.00,0.00,"	","	"
"	50","	微信","	20190929173251587987","	Leo Zeng","	颜色：蓝色，",27.00,3.00,"	","	"
"	51","	微信","	20190929124301895695","	Leo Zeng","	颜色：浅灰，",27.00,3.00,"	","	"
"	52","	微信","	20190928235537569343","	刘勤奋","	规格：默认，",15.00,3.00,"	","	"
"	53","	微信","	20190926191254216687","	细细","	颜色：灰色，",35.00,3.00,"	","	"
"	54","	微信","	20190926191254216687","	细细","	颜色：浅蓝，",35.00,3.00,"	","	"
"	55","	微信","	20190926191254216687","	细细","	颜色：浅灰，",35.00,3.00,"	","	"
"	56","	微信","	20190923173929725956","	好嗨哟！","	规格：默认，",224.00,0.00,"	","	"
"	57","	微信","	20190923173929725956","	好嗨哟！","	规格：默认，",224.00,0.00,"	","	"
"	58","	微信","	20190923173929725956","	好嗨哟！","	规格：默认，",224.00,0.00,"	","	"
"	59","	微信","	20190923173929725956","	好嗨哟！","	颜色：黄蓝，",224.00,0.00,"	","	"
"	60","	微信","	20190923122229147671","	右边的口袋","	规格：默认，",39.00,3.00,"	","	"
"	61","	微信","	20190917083514199009","	常筑径","	薄荷绿：M，",711.00,0.00,"	","	"
"	62","	微信","	20190917083514199009","	常筑径","	红色：M，",711.00,0.00,"	","	"
"	63","	微信","	20190917083514199009","	常筑径","	套餐：观光塔+防尘罩，",711.00,0.00,"	","	"
"	64","	微信","	20190917083514199009","	常筑径","	尺码：M，颜色：天空蓝，",711.00,0.00,"	","	"
"	65","	微信","	20190917083514199009","	常筑径","	内存：16G，接口：3.0，",711.00,0.00,"	","	"
"	66","	微信","	20190915224726584250","	","	规格：默认，",56.00,3.00,"	73119836578938","	中通快递"
"	67","	微信","	20190915224726584250","	","	规格：默认，",56.00,3.00,"	73119836578938","	中通快递"
"	68","	微信","	20190912131021816732","	卧轨的蚂蚁","	颜色：灰色，",80.00,0.00,"	","	"
"	69","	微信","	20190910111029152002","	kiddobaby","	套餐：主楼+防尘罩，",159.00,0.00,"	","	"
"	70","	微信","	20190907163923193107","	卧轨的蚂蚁","	规格：默认，",352.00,0.00,"	","	"
"	71","	微信","	20190907163923193107","	卧轨的蚂蚁","	书包：红蓝，",352.00,0.00,"	","	"
"	72","	微信","	20190907163923193107","	卧轨的蚂蚁","	颜色：灰色，",352.00,0.00,"	","	"
"	73","	微信","	20190907163923193107","	卧轨的蚂蚁","	颜色：黑色，",352.00,0.00,"	","	"
"	74","	微信","	20190907163923193107","	卧轨的蚂蚁","	颜色：黄蓝，",352.00,0.00,"	","	"
"	75","	微信","	20190907163923193107","	卧轨的蚂蚁","	颜色：绿色，",352.00,0.00,"	","	"
"	76","	微信","	20190906231430118636","	昊","	套餐：观光塔，",139.00,0.00,"	","	"
"	77","	微信","	20190817121151295872","	在水一方","	徽章：金色+毛毡壳，",64.00,0.00,"	73118175220083","	中通快递"
"	78","	微信","	20190817121151295872","	在水一方","	19蓝白款：XL，",64.00,0.00,"	73118175220083","	中通快递"
"	79","	微信","	20190815093801208383","	Stefanie","	徽章：金色+毛毡壳，",525.00,0.00,"	73118027021583","	中通快递"
"	80","	微信","	20190815093801208383","	Stefanie","	颜色：白色，",525.00,0.00,"	73118027021583","	中通快递"
"	81","	微信","	20190815093801208383","	Stefanie","	颜色：绿色，",525.00,0.00,"	73118027021583","	中通快递"
"	82","	微信","	20190815093801208383","	Stefanie","	颜色：黄色，",525.00,0.00,"	73118027021583","	中通快递"
"	83","	微信","	20190815093801208383","	Stefanie","	颜色：红色，",525.00,0.00,"	73118027021583","	中通快递"
"	84","	微信","	20190815093801208383","	Stefanie","	颜色：浅蓝，",525.00,0.00,"	73118027021583","	中通快递"
"	85","	微信","	20190801121045318891","	小橙","	套餐：观光塔，",139.00,0.00,"	73117436632137","	中通快递"
"	86","	微信","	20190731132603678256","	marc","	套餐：观光塔，",278.00,0.00,"	73117436638865","	中通快递"
"	87","	微信","	20190731132603678256","	marc","	套餐：西电主楼，",278.00,0.00,"	73117436638865","	中通快递"
"	88","	微信","	20190729224648329765","	超人哆啦哆啦","	套餐：西电主楼，",139.00,0.00,"	73117315898871","	中通快递"
"	89","	微信","	20190723101922786784","	天才乔治","	红色：L，",88.00,0.00,"	73117114956147","	中通快递"
"	90","	微信","	20190719172715734702","	肉肉旺","	银色徽章：银色徽章+毛毡壳，",1068.00,0.00,"	","	"
"	91","	微信","	20190719172715734702","	肉肉旺","	套餐：观光塔，",1068.00,0.00,"	","	"
"	92","	微信","	20190718165940660597","	一盆零度火锅","	套餐：观光塔，",139.00,0.00,"	73116629189465","	中通快递"
"	93","	微信","	20190716234433724504","	X.y.","	套餐：西电主楼，",139.00,0.00,"	","	"
"	94","	微信","	20190715162221769098","	miama","	套餐：观光塔，",278.00,0.00,"	73116452484762","	中通快递"
"	95","	微信","	20190715162221769098","	miama","	套餐：西电主楼，",278.00,0.00,"	73116452484762","	中通快递"
"	96","	微信","	20190711075106532042","	饕饕不嚼","	颜色：黄蓝，",88.00,0.00,"	","	"
"	97","	微信","	20190710162330748530","	王玉平","	徽章：金色+毛毡壳，",153.00,0.00,"	73116316559636","	中通快递"
"	98","	微信","	20190710162330748530","	王玉平","	杯子：黑色-礼盒装，",153.00,0.00,"	73116316559636","	中通快递"
