序号,所属平台,订单号,下单用户,规格,总金额,运费,快递单号,快递公司
"	103","	微信","	20211101171217316074","	李子园","	颜色：蓝色，",400.00,0.00,"	","	"
"	104","	微信","	20211101171217316074","	李子园","	杯子：黑色-礼盒装，",400.00,0.00,"	","	"
"	105","	微信","	20211030180116507357","	Lyk?","	规格：默认，",28.00,13.00,"	","	"
"	106","	微信","	20211030165232468327","	寒星x","	规格：好事将至，",19.20,,"	","	"
"	107","	微信","	20211030155453386007","	kindness","	规格：明信片套装，",57.00,,"	","	"
"	108","	微信","	20211030155453386007","	kindness","	规格：默认，",57.00,,"	","	"
"	109","	微信","	20211030155453386007","	kindness","	颜色：灰色，",57.00,,"	","	"
"	110","	微信","	20211030155453386007","	kindness","	规格：默认，",57.00,,"	","	"
"	111","	微信","	20211030155453386007","	kindness","	颜色：白色，",57.00,,"	","	"
"	112","	微信","	20211029193023962137","	小傻子","	规格：戒指，",47.00,8.00,"	","	"
"	113","	微信","	20211028160850116123","	蛤","	规格：平安喜樂，",19.20,,"	","	"
"	114","	微信","	20211027125344331762","	散石堆","	颜色：绿色，",61.00,13.00,"	75821106656666","	中通快递"
"	115","	微信","	20211026153614441740","	W Hero","	套餐：西电主楼，",139.00,0.00,"	75821107069926","	中通快递"
"	116","	微信","	20211021214838213138","	小傻子","	规格：默认，",13.00,8.00,"	","	"
"	117","	微信","	20211021214835813642","	c.Guoguo'","	杯子：黑色-礼盒装，",56.00,8.00,"	","	"
"	118","	微信","	20211021214733252192","	GKong","	规格：默认，",1.00,0.00,"	","	"
"	119","	微信","	20211021214728293210","	李子园","	规格：默认，",120.00,0.00,"	","	"
"	120","	微信","	20211021214718605127","	张文泰","	规格：默认，",1.00,0.00,"	","	"
"	121","	微信","	20211021214614991136","	回家","	规格：默认，",1.00,0.00,"	","	"
"	122","	微信","	20211021214547482355","	总之先找个时光机","	规格：默认，",1.00,0.00,"	","	"
"	123","	微信","	20211021213720545295","	张文泰","	规格：默认，",1.00,,"	","	"
"	124","	微信","	20211021213616879509","	回家","	规格：默认，",1.00,,"	","	"
"	125","	微信","	20211008152505536541","	GUN.","	规格：默认，",20.00,,"	","	"
"	126","	微信","	20211008152505536541","	GUN.","	规格：默认，",20.00,,"	","	"
"	127","	微信","	20211006072605742063","	欢乐马","	规格：默认，",59.00,11.00,"	7581469845551","	中通快递"
"	128","	微信","	20211003141208766795","	请叫我 小贱贱","	套餐：主楼+防尘罩，",159.00,0.00,"	75814700163118","	中通快递"
"	129","	微信","	20210930172837598777","	山后.","	套餐：西电主楼，",139.00,,"	","	"
"	130","	微信","	20210930152347333769","	林钟十二","	颜色：浅蓝，",5.00,,"	","	"
"	131","	微信","	20210930151924788379","	林钟十二","	规格：单色光，使用电池，",39.00,,"	","	"
"	132","	微信","	20210930151924788379","	林钟十二","	颜色：灰色，",39.00,,"	","	"
"	133","	微信","	20210930151924788379","	林钟十二","	颜色：绿色，",39.00,,"	","	"
"	134","	微信","	20210930151924788379","	林钟十二","	颜色：蓝色，",39.00,,"	","	"
"	135","	微信","	20210928200228175990","	","	颜色：绿色，",72.00,0.00,"	","	"
"	136","	微信","	20210928200228175990","	","	颜色：蓝色，",72.00,0.00,"	","	"
"	137","	微信","	20210928200228175990","	","	规格：默认，",72.00,0.00,"	","	"
"	138","	微信","	20210928200228175990","	","	颜色：蓝色，",72.00,0.00,"	","	"
"	139","	微信","	20210928200228175990","	","	颜色：橙色，",72.00,0.00,"	","	"
"	140","	微信","	20210928173528601106","	来时安","	类型：黑色版，",32.00,8.00,"	","	"
